segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
11,0,1,CADC0872,0.0,0.14923076923076922,0.21511627906976744,3.02240683073015e-05,1.5377378064167277e-09,3.2648436151426325e-05,0.017984039869809613,0.21708276215615424,0.0,0.2,0.25,0.29583333333333334,0.328125,3.95188431025493e-12,1.6665234564232408e-12,0.007903413498836307,0.14615384615384616,1.1050379633790561e-09,2.290569736105118e-10
12,0,0,CADC0872,0.0,0.15615384615384614,0.2238372093023256,4.16009858476302e-05,2.4142637018390064e-09,4.243794958001193e-05,0.011545812251534095,0.24900910688941255,0.0,0.2,0.25,0.275,0.296875,6.382984921488494e-12,2.023581754765052e-12,0.005430566330488751,0.15307692307692308,1.6576399703448646e-09,3.4465641338416893e-10
13,1,0,CADC0872,0.0,0.14923076923076922,0.21511627906976744,3.2837869227042846e-05,2.1815634784115753e-09,4.003714238917531e-05,0.03164458659115491,0.3227662249734624,0.0,0.2,0.25,0.004166666666666667,0.00390625,9.669289831665953e-11,6.200462987353501e-11,0.004994181536074476,0.14615384615384616,1.5592694068009197e-09,3.2403084367099663e-10
14,0,1,CADC0872,0.0,0.1430769230769231,0.2073643410852713,4.048855925239749e-05,2.370314014902024e-09,4.199348421438995e-05,0.01660157776918139,0.22903454966528647,0.0,0.2,0.25,0.2791666666666667,0.30078125,6.75675246186648e-12,2.075144707770274e-12,0.004606283941039566,0.13999999999999999,1.754305920117599e-09,3.6475216403221257e-10
15,1,1,CADC0872,0.0,0.12692307692307692,0.187015503875969,2.7320309269539265e-05,4.835461278838482e-10,1.5920620127572455e-05,0.014591184241020676,0.23160302410193143,0.15217391304347827,0.4,0.25,0.0875,0.125,3.84394661070276e-11,3.0544857476203954e-11,0.0035880527540729243,0.12384615384615386,4.160939337702536e-10,8.495074954580899e-11
16,0,1,CADC0872,0.0,0.1646153846153846,0.23449612403100772,3.6552877723457316e-05,2.007876455580669e-09,3.816249359583315e-05,0.012111952694557601,0.2498311533975445,0.0,0.2,0.25,0.2791666666666667,0.2578125,1.8963550021454563e-11,1.3579807925360762e-11,0.005963925523661754,0.16153846153846155,1.3199881301779283e-09,2.7409788648044774e-10
17,0,1,CADC0872,0.0,0.15615384615384614,0.2238372093023256,3.6213815511348596e-05,1.1978846134987896e-09,2.8130939478402578e-05,0.025611497524119665,0.1948202803773289,0.0,0.2,0.25,0.225,0.25,1.4907381078657752e-11,1.146471430677648e-11,0.005430566330488751,0.15307692307692308,8.319131806529679e-10,1.7197932155012538e-10
18,0,0,CADC0872,0.0,0.13692307692307693,0.19961240310077522,3.327707247448943e-05,8.416049561662241e-10,2.267097487610925e-05,0.0233654991220738,0.20188043354533097,0.0,0.2,0.25,0.19583333333333333,0.19921875,1.3595471352948e-11,1.075879371626033e-11,0.004218386346004656,0.13384615384615384,6.612723696799324e-10,1.362250941595945e-10
19,1,1,CADC0872,0.0,0.12846153846153846,0.18895348837209303,2.9272173641416113e-05,6.547345816850233e-10,1.9362653261686345e-05,0.017963689993898087,0.23157074912317538,0.021739130434782608,0.2,0.25,0.12083333333333333,0.15625,2.1663390438131005e-11,1.6783245289563415e-11,0.003685027152831653,0.12538461538461537,5.487289871594135e-10,1.1267135703335351e-10
20,1,0,CADC0872,0.0,0.17846153846153845,0.25193798449612403,3.783310572872924e-05,1.9232210714765223e-09,3.722013449692825e-05,0.02507974225278126,0.20349396674040113,0.0,0.2,0.25,0.075,0.07421875,4.893504029281045e-11,3.266152126745687e-11,0.006836695112490303,0.1753846153846154,1.178648332237245e-09,2.446026936614722e-10
21,1,0,CADC0872,0.0,0.1892307692307692,0.2655038759689922,3.899257575514697e-05,1.4990050443687455e-09,3.2159751270572684e-05,0.03777397401027739,0.16558286081995258,0.043478260869565216,0.4,0.25,0.004166666666666667,0.0078125,2.2576014625325336e-10,2.1903758514555936e-10,0.007515515903801396,0.18615384615384614,8.751858877208855e-10,1.8114806369695665e-10
22,1,1,CADC0872,0.0,0.11384615384615383,0.1705426356589147,2.975868837993935e-05,7.903406214152839e-10,2.1800955569492286e-05,0.07248150901304308,0.0,0.10869565217391304,0.2,0.25,0.058333333333333334,0.05859375,7.329980123914908e-11,5.0555088112547085e-11,0.0027637703646237388,0.11076923076923076,7.271567623726158e-10,1.498771489115e-10
23,0,1,CADC0872,0.0,0.15999999999999998,0.22868217054263568,3.636185039064599e-05,3.217332383832654e-09,4.995430388169108e-05,0.011221935505467608,0.25690987708239343,0.0,0.2,0.25,0.19583333333333333,0.20703125,2.8957632376962418e-11,1.9484657124436253e-11,0.005673002327385571,0.15692307692307692,2.157126400883196e-09,4.491488250950205e-10
24,1,1,CADC0872,0.0,0.12769230769230772,0.187984496124031,2.6246653659572195e-05,1.4365135672047427e-09,3.135826015920613e-05,0.01684247572128572,0.22574271013863048,0.0,0.2,0.25,0.05,0.05078125,6.514762863886728e-11,4.183143915737218e-11,0.0036365399534522896,0.1246153846153846,1.1799365122923705e-09,2.445658357670414e-10
25,0,1,CADC0872,0.0,0.1330769230769231,0.19476744186046513,3.5146071131555966e-05,2.495130991347955e-09,4.324553887176447e-05,0.011591555126367926,0.2512155302809614,0.0,0.2,0.25,0.20833333333333334,0.23828125,1.898617418797126e-11,1.0493790446984787e-11,0.003975950349107836,0.13,1.9619456208072114e-09,4.080436639481105e-10
26,0,1,CADC0872,0.0,0.13461538461538464,0.19670542635658916,3.692410143670714e-05,3.0198844510307463e-09,4.820085815129654e-05,0.011060816238708623,0.25493900682203885,0.0,0.2,0.25,0.175,0.20703125,2.3014311606532434e-11,1.3954503037477566e-11,0.004072924747866563,0.13153846153846155,2.3468214607277943e-09,4.88503383262409e-10
27,0,1,CADC0872,0.0,0.12846153846153846,0.18895348837209303,4.053112821089176e-05,1.787728459252167e-09,3.566880752574342e-05,0.03100735364405339,0.17512698846082486,0.021739130434782608,0.2,0.25,0.15,0.1484375,3.096960779316043e-11,2.4344201537132534e-11,0.003685027152831653,0.12538461538461537,1.4549217310771677e-09,3.0203439248437995e-10
28,0,0,CADC0872,0.0,0.11230769230769232,0.16860465116279072,3.3840164828455824e-05,7.854681872450564e-10,2.1716903387466135e-05,0.03263968293175368,0.1506738788514677,0.0,0.2,0.25,0.15833333333333333,0.18359375,1.0198977893691265e-11,8.144553323202092e-12,0.0026667959658650117,0.10923076923076924,7.310270014204462e-10,1.5067610408545346e-10
29,1,1,CADC0872,0.0,0.14615384615384613,0.21124031007751937,3.656474294518978e-05,1.4126984817420704e-09,3.1048400643291524e-05,0.018173169296932384,0.22510859873916497,0.06521739130434782,0.4,0.25,0.05416666666666667,0.10546875,6.04908981255355e-11,4.400213830135216e-11,0.008097362296353761,0.14307692307692307,1.0351940825279398e-09,2.144365303834429e-10
30,0,0,CADC0872,0.0,0.1223076923076923,0.1812015503875969,3.23128713870874e-05,4.007296835911236e-10,1.4056589976205374e-05,0.02936214993341792,0.19098779096431184,0.043478260869565216,0.2,0.25,0.1875,0.1875,2.2081062184436457e-11,2.1714069146808014e-11,0.0058184639255236615,0.11923076923076922,3.605096142830096e-10,7.332398933203993e-11
31,1,0,CADC0872,0.0,0.12461538461538461,0.18507751937984496,3.78274473343633e-05,4.707349626086114e-10,1.5642203052148534e-05,0.023173797109399617,0.3196615836752261,0.0,0.2,0.25,0.07916666666666666,0.0625,3.194953657750602e-11,2.2649191168217888e-11,0.005382079131109388,0.12230769230769231,4.121780640783194e-10,8.367541492910159e-11
32,0,1,CADC0872,0.0,0.12846153846153846,0.18895348837209303,3.483860343975548e-05,7.876015825115791e-10,2.1753735636773332e-05,0.01720038370919938,0.23042528642205437,0.0,0.2,0.25,0.22916666666666666,0.23828125,1.6921768593538816e-11,1.6178760430921822e-11,0.0066912335143522106,0.12538461538461537,6.549988571375978e-10,1.348780953802689e-10
33,0,1,CADC0872,0.0,0.14923076923076922,0.21511627906976744,3.6143164147658224e-05,1.2856717713133895e-09,2.9351334915961535e-05,0.011027459303892373,0.2599000626301292,0.0,0.2,0.25,0.26666666666666666,0.25,2.1384286375097615e-11,1.9918512557448364e-11,0.007903413498836307,0.14615384615384616,9.272005083924336e-10,1.918734813922058e-10
34,0,1,CADC0872,0.0,0.11538461538461538,0.17248062015503873,2.7520862272711845e-05,2.6878878860796447e-10,1.0690648481748339e-05,0.019990959084428307,0.22114640336207753,0.043478260869565216,0.2,0.25,0.17083333333333334,0.171875,1.3809724868427886e-11,1.3098052873163901e-11,0.006157874321179208,0.1123076923076923,2.636341548694665e-10,5.3069862047264695e-11
35,0,0,CADC0872,0.0,0.14692307692307693,0.21220930232558138,3.9738713413682884e-05,2.3178947222792313e-09,4.145805949668399e-05,0.02209344189012672,0.21221614662628702,0.0,0.2,0.25,0.2375,0.28515625,1.6978630768235535e-11,1.3208763296420866e-11,0.008727695888285494,0.14384615384615385,1.6776505245990553e-09,3.4876234610320173e-10
36,0,1,CADC0872,0.0,0.13615384615384613,0.19961240310077522,3.761063979214925e-05,2.299264460096495e-09,4.126634108355863e-05,0.020935837259735877,0.21179935729313484,0.0,0.2,0.25,0.2125,0.23046875,1.340371747509584e-11,9.055145313743504e-12,0.008242823894491855,0.13384615384615384,1.7753438941067966e-09,3.67328314211373e-10
37,0,1,CADC0872,0.0,0.12000000000000001,0.17926356589147285,3.973156543180446e-05,2.5474825058638175e-09,4.376153217109624e-05,0.021347233540744526,0.2078744403485709,0.0,0.2,0.25,0.12916666666666665,0.1484375,1.5969720016916455e-11,8.894117291190914e-12,0.006739720713731576,0.11769230769230768,2.1823391848987756e-09,4.5152894590122904e-10
38,0,1,CADC0872,0.0,0.12384615384615384,0.18313953488372092,3.428023956521865e-05,2.7880226658261084e-09,4.60682000498004e-05,0.011304797512565731,0.2452046717152239,0.0,0.2,0.25,0.18333333333333332,0.21484375,1.2853937011368556e-11,5.498731963003021e-12,0.007079131109387122,0.12076923076923077,2.324519758298284e-09,4.836766288663978e-10
39,0,1,CADC0872,0.0,0.12692307692307692,0.187984496124031,3.0676822433533774e-05,2.528018407620926e-09,4.3570299898801686e-05,0.010754071342371337,0.2637133844325772,0.0,0.2,0.25,0.22083333333333333,0.24609375,1.9017262916220672e-11,1.394774317774656e-11,0.0074670287044220325,0.1246153846153846,2.067658731725857e-09,4.2789770987592407e-10
40,0,1,CADC0872,0.0,0.11230769230769232,0.16860465116279072,2.96759940309169e-05,1.055090921281647e-09,2.6050383469625797e-05,0.02380007206270794,0.21056546232049705,0.021739130434782608,0.2,0.25,0.17083333333333334,0.1875,4.498152809590281e-11,4.055311028971658e-11,0.005866951124903025,0.10923076923076924,9.716972021166687e-10,2.0093914984567565e-10
41,0,1,CADC0872,0.0,0.12538461538461537,0.18604651162790697,3.7901562680264716e-05,1.579162846213107e-09,3.316454625234004e-05,0.013796297296067371,0.23612763639549103,0.0,0.2,0.25,0.14166666666666666,0.15625,2.3481415746664324e-11,1.9789105859605945e-11,0.0066912335143522106,0.12307692307692308,1.3144663126684222e-09,2.7126566770694603e-10
42,0,0,CADC0872,0.0,0.12076923076923075,0.17926356589147285,3.850147398790507e-05,9.510344917083363e-10,2.444827949705239e-05,0.034010288570897475,0.1667262288451857,0.021739130434782608,0.2,0.25,0.17916666666666667,0.2109375,2.38302534362449e-11,2.1529279159589878e-11,0.005721489526764934,0.11769230769230768,8.275087369252405e-10,1.7088146168029328e-10
43,0,0,CADC0872,0.0,0.10615384615384614,0.16085271317829458,3.184866360723889e-05,3.8891943509747476e-10,1.3777291526960054e-05,0.038381390612179316,0.14347915409571702,0.021739130434782608,0.2,0.25,0.19583333333333333,0.2265625,2.38535137097415e-11,2.2718732322474845e-11,0.004315360744763383,0.10307692307692307,3.9526909206845544e-10,8.053250072328931e-11
44,0,1,CADC0872,0.0,0.13,0.19186046511627908,3.49063454288149e-05,1.089331790103156e-09,2.6560964808007148e-05,0.011695800652314327,0.25396448600968874,0.021739130434782608,0.2,0.25,0.14166666666666666,0.16015625,2.5839385936343078e-11,2.4606429858987106e-11,0.0068851823118696665,0.1276923076923077,8.873778210742623e-10,1.8252926855424907e-10
45,0,1,CADC0872,0.0,0.12307692307692307,0.1821705426356589,3.414684764885802e-05,8.427071107003965e-10,2.268940196445786e-05,0.013182499581532406,0.2459852342112994,0.021739130434782608,0.2,0.25,0.17083333333333334,0.140625,2.2035864388647815e-11,1.933487631625577e-11,0.004897207137315749,0.12,7.247680358858018e-10,1.4943005359337333e-10
46,0,1,CADC0872,0.0,0.11538461538461538,0.17248062015503873,4.0492231878351574e-05,8.219679504862574e-10,2.2340735738896713e-05,0.012980048707929882,0.23915980226850306,0.043478260869565216,0.2,0.25,0.16666666666666666,0.203125,2.1622736383696097e-11,1.4988450266164822e-11,0.0028607447633824676,0.1123076923076923,7.467357487548328e-10,1.5397575947863664e-10
47,0,1,CADC0872,0.0,0.1146153846153846,0.17151162790697672,3.122429226243931e-05,7.159968580969034e-10,2.049077272648813e-05,0.026669232610474502,0.19253163249847277,0.0,0.2,0.25,0.18333333333333332,0.20703125,7.691727406206294e-12,4.840606242105967e-12,0.002812257564003104,0.11153846153846153,6.578353961443504e-10,1.3540294016146435e-10
48,0,1,CADC0872,0.0,0.1523076923076923,0.2189922480620155,3.296905932164652e-05,2.1618508309685434e-09,3.9828136105543284e-05,0.011169414780695885,0.2592078892289724,0.0,0.2,0.25,0.22916666666666666,0.24609375,1.4067697943995695e-11,9.048375729812106e-12,0.005188130333591932,0.14923076923076922,1.5185451626359593e-09,3.1553989693765717e-10
49,0,1,CADC0872,0.0,0.11538461538461538,0.17248062015503873,2.8432570221944873e-05,8.655966265014704e-10,2.3069561878108198e-05,0.03533832682946826,0.13004755592990086,0.021739130434782608,0.2,0.25,0.1125,0.13671875,1.6292500295812393e-11,1.3137934391092443e-11,0.0028607447633824676,0.1123076923076923,7.848374784918882e-10,1.6193410464136748e-10
50,0,0,CADC0872,0.0,0.12461538461538461,0.18410852713178294,3.8812440167749384e-05,2.0976411277351006e-09,3.914081126701296e-05,0.034124346040420986,0.15501984890432832,0.0,0.2,0.25,0.17916666666666667,0.203125,1.8595208290190393e-11,1.1389020352881313e-11,0.0034425911559348337,0.12153846153846154,1.7464386757051516e-09,3.6290532247675384e-10
51,1,1,CADC0872,0.0,0.13153846153846155,0.1928294573643411,3.717057296768971e-05,3.0217580550189286e-09,4.821775738789325e-05,0.016545607998693694,0.23973226397610206,0.0,0.2,0.25,0.075,0.1015625,4.8121986135446244e-11,3.250103936069249e-11,0.0038789759503491074,0.12846153846153846,2.3941846222998653e-09,4.983561420609189e-10
52,1,1,CADC0872,0.0,0.10846153846153846,0.15406976744186046,3.258770255783935e-05,2.038788661446835e-09,3.8501759154535685e-05,0.019305000195134904,0.2064302176093906,0.0,0.2,0.25,0.1375,0.16796875,2.3119543927254953e-11,1.523653363723732e-11,0.007757951900698216,0.09769230769230769,1.902788532228867e-09,4.193323984196011e-10
53,0,1,CADC0872,0.0,0.12153846153846153,0.18023255813953487,3.092335013994146e-05,2.9448633827401953e-09,4.75199089319265e-05,0.01158307644235395,0.2537258005752521,0.0,0.2,0.25,0.1875,0.2421875,2.9743083817453985e-11,1.8702163654800728e-11,0.0032486423584173777,0.11846153846153845,2.4922061550700952e-09,5.186706623545813e-10
54,0,0,CADC0872,0.0,0.11153846153846154,0.1676356589147287,3.444395033713736e-05,2.7837115477037795e-09,4.602773774706365e-05,0.01222481502589675,0.24456766907287425,0.0,0.2,0.25,0.1625,0.1640625,2.3114228521884187e-11,1.235582234562267e-11,0.002618308766485648,0.10846153846153847,2.5287590333650934e-09,5.261092976735371e-10
55,0,1,CADC0872,0.0,0.10615384615384614,0.16085271317829458,3.748351375887995e-05,1.826566508977248e-09,3.6119161925383696e-05,0.023767291559652647,0.19817146222553683,0.0,0.2,0.25,0.1875,0.1953125,2.322654787724092e-11,1.6923897447804444e-11,0.0022788983708301016,0.10307692307692307,1.7378812277118498e-09,3.608606552484353e-10
56,0,1,CADC0872,0.0,0.11923076923076924,0.17732558139534882,3.844774110870093e-05,1.5681443148092706e-09,3.302791353061733e-05,0.019402829452628736,0.22412713983875193,0.0,0.2,0.25,0.12083333333333333,0.17578125,2.4581967515772576e-11,1.6599161122826792e-11,0.003103180760279287,0.11615384615384616,1.3611461580379136e-09,2.8234897976319946e-10
57,1,1,CADC0872,0.0,0.11923076923076924,0.17732558139534882,3.75109128451245e-05,1.4044141160159177e-09,3.094002250581473e-05,0.018826756200152443,0.22028276225932575,0.021739130434782608,0.2,0.25,0.06666666666666667,0.11328125,4.0737082755590026e-11,2.710879769321929e-11,0.003103180760279287,0.11615384615384616,1.2219204051990392e-09,2.5326464710242167e-10
58,0,1,CADC0872,0.0,0.09461538461538462,0.14631782945736432,3.0408267530146234e-05,3.0536274858456753e-10,1.1683802909388667e-05,0.01406910263984388,0.2572586097207902,0.021739130434782608,0.2,0.25,0.11666666666666667,0.140625,1.8190176582610417e-11,1.272817459650607e-11,0.0015515903801396431,0.09153846153846154,3.489390938730858e-10,7.081748509069013e-11
59,1,1,CADC0872,0.0,0.1223076923076923,0.1812015503875969,3.685020578854528e-05,7.288294091699644e-10,2.0721311060224467e-05,0.014652942803622948,0.24467880089519026,0.021739130434782608,0.4,0.25,0.016666666666666666,0.05859375,2.918680063407868e-11,1.904896741126797e-11,0.0032971295577967413,0.11923076923076922,6.337522865331057e-10,1.3041068916457122e-10
60,1,1,CADC0872,0.0,0.12076923076923075,0.17926356589147285,3.6568811887054974e-05,8.820883172169814e-10,2.3340533360068066e-05,0.010544955648029403,0.2517292567903518,0.0,0.2,0.25,0.1125,0.1015625,1.1350374206373302e-11,6.943783851298604e-12,0.003200155159038014,0.11769230769230768,7.694919955391137e-10,1.5876107301364925e-10
61,0,0,CADC0872,0.0,0.1146153846153846,0.17151162790697672,3.697545173054719e-05,9.739129582998741e-10,2.4807400224913437e-05,0.011405581549672368,0.24683773822751062,0.0,0.2,0.25,0.2125,0.22265625,4.865322413147148e-12,2.119440805059074e-12,0.002812257564003104,0.11153846153846153,8.84302443168294e-10,1.8270394933393286e-10
62,1,1,CADC0872,0.0,0.1053846153846154,0.15988372093023256,3.0149984151034578e-05,6.182774227153726e-10,1.8667993339162166e-05,0.01693134740518422,0.23910315375305796,0.021739130434782608,0.4,0.25,0.004166666666666667,0.01953125,4.0469082052775516e-11,2.1461495430623612e-11,0.003975950349107836,0.1023076923076923,6.131060091223575e-10,1.260109529440975e-10
63,0,0,CADC0872,0.0,0.13153846153846155,0.1937984496124031,3.495767379376073e-05,2.2642294898500435e-09,4.0903738380590406e-05,0.013004121442546236,0.2505439530486796,0.0,0.2,0.25,0.24166666666666667,0.27734375,6.449611816689015e-12,1.445868841201951e-12,0.007854926299456944,0.12923076923076923,1.8000618752685608e-09,3.723677240057691e-10
64,0,0,CADC0872,0.0,0.11538461538461538,0.17248062015503873,3.6318525094176447e-05,1.7199012973594642e-09,3.487075140967263e-05,0.025119666300056194,0.19374976238954855,0.0,0.2,0.25,0.225,0.25,5.50567965193394e-12,1.3731268468261096e-12,0.006448797517455393,0.1123076923076923,1.5309175491038265e-09,3.1776857100130034e-10
65,0,1,CADC0872,0.0,0.11846153846153847,0.1763565891472868,4.053693552236246e-05,2.7430444615131934e-09,4.564453018761616e-05,0.02374160298738716,0.20300885755774734,0.0,0.2,0.25,0.24166666666666667,0.265625,8.833244293183145e-12,2.3794042891168164e-12,0.006739720713731576,0.11538461538461539,2.3727828050150056e-09,4.936665776766669e-10
66,0,0,CADC0872,0.0,0.12307692307692307,0.1821705426356589,3.7624564880344185e-05,3.4875500121098307e-09,5.2270288707789005e-05,0.010992327873920425,0.24802287275466725,0.0,0.2,0.25,0.225,0.26171875,1.0376687879698912e-11,1.0616321922159027e-12,0.007127618308766486,0.12,2.9161074809176946e-09,6.072634733538112e-10
67,0,1,CADC0872,0.0,0.11,0.16666666666666669,3.0823362302953595e-05,2.3848656688636604e-09,4.21410889407798e-05,0.010984974954835997,0.2559008741603219,0.0,0.2,0.25,0.2,0.21875,8.915095161050659e-12,1.2551931766281312e-12,0.00591543832428239,0.1076923076923077,2.195342308596073e-09,4.5388364296600526e-10
68,0,1,CADC0872,0.0,0.11384615384615383,0.17151162790697672,2.9704919181519912e-05,1.852046383192988e-09,3.6412094194025236e-05,0.013391064547522362,0.24561158997251506,0.0,0.2,0.25,0.22083333333333333,0.23046875,6.849062887850091e-12,1.6564179220637786e-12,0.006254848719937937,0.11153846153846153,1.6644974547465563e-09,3.437508834060303e-10
69,0,1,CADC0872,0.0,0.11384615384615383,0.17151162790697672,3.665267402784561e-05,1.7562592377212349e-09,3.530040222884065e-05,0.011792080293174488,0.24697882944319907,0.0,0.2,0.25,0.24166666666666667,0.26171875,7.027578860669724e-12,2.228818828264028e-12,0.006157874321179208,0.11153846153846153,1.5799305318858558e-09,3.261838193763e-10
70,0,1,CADC0872,0.0,0.10384615384615385,0.15891472868217055,3.7109135709217023e-05,9.286455898365099e-10,2.4092857013570376e-05,0.02519637006040582,0.184540219064115,0.0,0.2,0.25,0.21666666666666667,0.234375,3.4641204479100436e-12,1.288363697158249e-12,0.005236617532971295,0.10153846153846155,9.154820069250971e-10,1.8799815277694455e-10
71,1,1,CADC0872,0.0,0.11307692307692309,0.16957364341085274,3.6850628002450343e-05,5.98538200621494e-10,1.828398698535618e-05,0.022828435576530318,0.21003880668694713,0.0,0.2,0.25,0.18333333333333332,0.203125,3.47825794813949e-12,1.7929265673946124e-12,0.005624515128006207,0.10999999999999999,5.609782464397508e-10,1.1516571803086601e-10
72,0,0,CADC0872,0.0,0.11692307692307692,0.17441860465116277,3.564816222993743e-05,8.114775825727562e-10,2.2162796623411573e-05,0.01247538800976579,0.25432238668740564,0.0,0.2,0.25,0.25416666666666665,0.25390625,3.590550447255106e-12,1.5164767605372072e-12,0.0034425911559348337,0.11384615384615385,7.295071616136686e-10,1.5038617054601498e-10
73,0,1,CADC0872,0.0,0.09769230769230769,0.1501937984496124,3.059398745374524e-05,2.892954624609447e-10,1.1254075386276216e-05,0.011932763918411027,0.25225097103261496,0.0,0.2,0.25,0.2,0.21484375,2.023083895093475e-12,1.0210107580054725e-12,0.001745539177657099,0.0946153846153846,3.2388681753070277e-10,6.560063393536889e-11
74,1,1,CADC0872,0.0,0.11923076923076924,0.17732558139534882,3.473870126285186e-05,7.523449695224756e-10,2.113890858104818e-05,0.019144020122319333,0.27410317679670465,0.0,0.2,0.25,0.05416666666666667,0.0625,2.1365067836402735e-11,1.1160401794796135e-11,0.003103180760279287,0.11615384615384616,6.674422546036611e-10,1.374338711416545e-10
75,0,0,CADC0872,0.0,0.1176923076923077,0.17538759689922478,3.671224185420061e-05,8.419096794311688e-10,2.2676070726245018e-05,0.01318568025221413,0.24318884021380024,0.0,0.2,0.25,0.225,0.23828125,4.200243821921416e-12,1.917273789022704e-12,0.0030062063615205583,0.11461538461538462,7.516907632000595e-10,1.5502448866823918e-10
76,0,1,CADC0872,0.0,0.11153846153846154,0.1676356589147287,3.738874412462772e-05,8.973004580468932e-10,2.3588368216272816e-05,0.013194691126422964,0.24338941029706793,0.0,0.2,0.25,0.12916666666666665,0.1328125,2.950646669449365e-11,2.5638200985225065e-11,0.002618308766485648,0.10846153846153847,8.355591787410238e-10,1.7250181422564042e-10
77,0,1,CADC0872,0.0,0.11153846153846154,0.1676356589147287,2.8656572324649117e-05,7.219225924215115e-10,2.059746663881527e-05,0.014486536461542063,0.25956975744442795,0.2173913043478261,0.2,0.25,0.12916666666666665,0.171875,5.13878066758067e-11,4.8691347254851986e-11,0.002618308766485648,0.10846153846153847,6.781439800023504e-10,1.396272589093152e-10
